loss,accuracy,val_loss,val_accuracy,lr
0.13802284002304077,0.939202606678009,0.07942303270101547,0.972057580947876,0.001
0.06913556903600693,0.9675653576850891,0.051745619624853134,0.9826418161392212,0.001
0.058155450969934464,0.972991406917572,0.04689786583185196,0.9849703311920166,0.001
0.05299389734864235,0.9757463932037354,0.04098295420408249,0.9880927205085754,0.001
0.048014070838689804,0.978380024433136,0.043831631541252136,0.9870871901512146,0.001
0.044076286256313324,0.9803692698478699,0.04753219336271286,0.9871930480003357,0.001
0.041283704340457916,0.981919527053833,0.04403454437851906,0.9868226051330566,0.001
0.04064926132559776,0.9819101691246033,0.05743277072906494,0.9792548418045044,0.001
0.03771838918328285,0.9838994145393372,0.03196733072400093,0.9905800223350525,0.001
0.03694672882556915,0.9835819005966187,0.037796515971422195,0.9892040491104126,0.001
0.034878287464380264,0.9846558570861816,0.04125969856977463,0.9864521622657776,0.001
0.034168463200330734,0.9848706722259521,0.03677788004279137,0.9896803498268127,0.001
0.035152144730091095,0.9846185445785522,0.04336388409137726,0.9845998883247375,0.001
0.03400258719921112,0.9855150580406189,0.03599853813648224,0.9899978637695312,0.001
0.030343659222126007,0.9870373606681824,0.026031240820884705,0.9927497506141663,0.0005
0.02813846617937088,0.9882794618606567,0.03255172818899155,0.9904741644859314,0.0005
0.027512548491358757,0.987831175327301,0.02832937240600586,0.9916913509368896,0.0005
0.026875348761677742,0.988606333732605,0.032054584473371506,0.9893099069595337,0.0005
0.02821560949087143,0.9880833029747009,0.029956458136439323,0.9907916784286499,0.0005
0.027671724557876587,0.98836350440979,0.03312605991959572,0.9896274209022522,0.0005
0.025955094024538994,0.9888491034507751,0.026378164067864418,0.9924851655960083,0.00025
0.02491457387804985,0.9892227053642273,0.027680272236466408,0.9923793077468872,0.00025
0.024819351732730865,0.989241361618042,0.026541216298937798,0.9924851655960083,0.00025
0.023598670959472656,0.990109920501709,0.02732442133128643,0.9923793077468872,0.00025
0.02321464754641056,0.99030601978302,0.029778243973851204,0.9906858205795288,0.00025
