model,attack,epsilon,clean_accuracy,adversarial_accuracy,clean_f1_weighted,adversarial_f1_weighted,prediction_stability,attack_success_rate_on_clean_correct,mean_linf_perturbation
MLP,FGSM,0.01,0.7575408090844571,0.7263129879347054,0.725539865016926,0.6938553573309076,0.9680180979418027,0.031227821149751596,0.01
MLP,FGSM,0.03,0.7575408090844571,0.5373935415188077,0.725539865016926,0.5014992786450075,0.7780340667139816,0.2201472675656494,0.03
MLP,FGSM,0.05,0.7575408090844571,0.48997515968772176,0.725539865016926,0.45564223872803383,0.7295067423704755,0.2675656493967353,0.05
MLP,PGD,0.01,0.7575408090844571,0.7244056068133428,0.725539865016926,0.6919090857704956,0.965888928317956,0.033135202271114265,0.01
MLP,PGD,0.03,0.7575408090844571,0.42698722498225694,0.725539865016926,0.38992247265809543,0.6674503193754435,0.33055358410220015,0.03
MLP,PGD,0.05,0.7575408090844571,0.3444819020581973,0.725539865016926,0.30193180923690427,0.5830819730305181,0.41305890702625975,0.05
LSTM,FGSM,0.01,0.7535936113575865,0.6657941437444543,0.7195431155981991,0.6226597082834885,0.9093611357586513,0.0877994676131322,0.01
LSTM,FGSM,0.03,0.7535936113575865,0.5247116237799467,0.7195431155981991,0.4894929235416652,0.7614019520851819,0.2289707187222715,0.03
LSTM,FGSM,0.05,0.7535936113575865,0.39267968056787933,0.7195431155981991,0.3751280897301205,0.6209849157054126,0.3614019520851819,0.05
LSTM,PGD,0.01,0.7535936113575865,0.6122005323868678,0.7195431155981991,0.5719519992476731,0.8547471162377994,0.14139307897071873,0.01
LSTM,PGD,0.03,0.7535936113575865,0.35554569653948537,0.7195431155981991,0.3185252973689471,0.5868677905944987,0.39804791481810115,0.03
LSTM,PGD,0.05,0.7535936113575865,0.11029281277728482,0.7195431155981991,0.09889981058881542,0.33092280390417034,0.6433007985803016,0.05
LSTM + Attention,FGSM,0.01,0.7651730257320319,0.6957852706299912,0.7288362642301927,0.6497773419331017,0.925776397515528,0.06938775510204082,0.01
LSTM + Attention,FGSM,0.03,0.7651730257320319,0.5506654835847382,0.7288362642301927,0.5142635927826591,0.7711623779946761,0.21464063886424134,0.03
LSTM + Attention,FGSM,0.05,0.7651730257320319,0.3921472937000887,0.7288362642301927,0.3834560493316595,0.6057675244010647,0.37315882874889084,0.05
LSTM + Attention,PGD,0.01,0.7651730257320319,0.6594942324755989,0.7288362642301927,0.61568811967756,0.8879769299023957,0.105678793256433,0.01
LSTM + Attention,PGD,0.03,0.7651730257320319,0.4023957409050577,0.7288362642301927,0.36871582517585916,0.6172582076308785,0.36277728482697424,0.03
LSTM + Attention,PGD,0.05,0.7651730257320319,0.14028393966282166,0.7288362642301927,0.12523143498310807,0.34986690328305237,0.6248890860692103,0.05
