loss,accuracy,val_loss,val_accuracy,lr
0.12691251933574677,0.9376406669616699,0.1052529364824295,0.9649661183357239,0.001
0.06789685785770416,0.9644448161125183,0.07496754825115204,0.9727984666824341,0.001
0.05693903937935829,0.9711598753929138,0.06125297024846077,0.9788314700126648,0.001
0.0513884462416172,0.9736628532409668,0.057179179042577744,0.9804190993309021,0.001
0.046581774950027466,0.9760164022445679,0.07469717413187027,0.974544882774353,0.001
0.04471414536237717,0.9776414632797241,0.055274542421102524,0.9828005433082581,0.001
0.04263203591108322,0.9788182377815247,0.07006540149450302,0.9776672124862671,0.001
0.03939035162329674,0.980396568775177,0.039843183010816574,0.9852878451347351,0.001
0.037568364292383194,0.9810596704483032,0.04222244769334793,0.9858170747756958,0.001
0.03596829995512962,0.982133686542511,0.04879377409815788,0.9829593300819397,0.001
0.03344755619764328,0.9832544326782227,0.04187454655766487,0.9868226051330566,0.001
0.031807348132133484,0.9834879040718079,0.030333390459418297,0.9893628358840942,0.001
0.03247644007205963,0.9837120771408081,0.044211313128471375,0.9853937029838562,0.001
0.030718639492988586,0.9845619797706604,0.0435572974383831,0.986028790473938,0.001
0.029760180041193962,0.9851877093315125,0.0329119972884655,0.9886218905448914,0.001
0.029063791036605835,0.9852343797683716,0.03478921949863434,0.9879339337348938,0.001
0.028045307844877243,0.986130952835083,0.03931400552392006,0.9865050315856934,0.001
0.025231799110770226,0.9867287278175354,0.03355707228183746,0.9883573055267334,0.0005
0.0238286592066288,0.9880829453468323,0.034021735191345215,0.9875634908676147,0.0005
0.023690583184361458,0.9880829453468323,0.04153662174940109,0.9866108894348145,0.0005
0.022585896775126457,0.9886619448661804,0.029444105923175812,0.9899449348449707,0.0005
0.022073855623602867,0.9888487458229065,0.02967720478773117,0.9899449348449707,0.0005
0.022335296496748924,0.988391101360321,0.03209765627980232,0.9890981912612915,0.0005
0.022224050015211105,0.9886152744293213,0.03584740310907364,0.9883043766021729,0.0005
0.021785179153084755,0.9883630871772766,0.027690237388014793,0.9910562634468079,0.0005
0.02187052182853222,0.9892223477363586,0.026303380727767944,0.9909504652023315,0.0005
0.02050977759063244,0.9891009330749512,0.026053812354803085,0.9914796352386475,0.0005
0.01952505297958851,0.9899788498878479,0.027672311291098595,0.9910033941268921,0.0005
0.01992499828338623,0.9897826910018921,0.0289628766477108,0.9902624487876892,0.0005
0.01993100717663765,0.9896146059036255,0.029602065682411194,0.9903153777122498,0.0005
0.019346842542290688,0.9897266626358032,0.027742182835936546,0.9907916784286499,0.0005
0.019781868904829025,0.9895212054252625,0.02561057358980179,0.9922205805778503,0.0005
0.018846668303012848,0.9904738068580627,0.029981346800923347,0.9898390769958496,0.0005
0.01909421756863594,0.9896799325942993,0.02594573050737381,0.9913209080696106,0.0005
0.018621033057570457,0.9895678758621216,0.030243856832385063,0.9902624487876892,0.0005
0.0189764853566885,0.9902029633522034,0.02699277549982071,0.9911091923713684,0.0005
0.017709167674183846,0.9908380508422852,0.03200449049472809,0.9897332787513733,0.0005
0.016233639791607857,0.9912489652633667,0.026464128866791725,0.9915854930877686,0.00025
0.015953846275806427,0.9915105104446411,0.024527747184038162,0.9919030070304871,0.00025
0.016373297199606895,0.9915105104446411,0.028584156185388565,0.9907916784286499,0.00025
0.015347053296864033,0.9918186664581299,0.030038118362426758,0.9903153777122498,0.00025
0.014829754829406738,0.9920708537101746,0.024888398125767708,0.9919030070304871,0.00025
0.015456370078027248,0.9918373823165894,0.023997057229280472,0.9925380945205688,0.00025
0.014856874011456966,0.9918934106826782,0.02430080808699131,0.9921676516532898,0.00025
0.014669911935925484,0.9923883676528931,0.02675270289182663,0.9916913509368896,0.00025
0.016217727214097977,0.9918934106826782,0.026240961626172066,0.9915854930877686,0.00025
0.014620384201407433,0.9918000102043152,0.024287991225719452,0.9923793077468872,0.00025
0.014888658188283443,0.9920334815979004,0.025574587285518646,0.9923793077468872,0.00025
0.014623812399804592,0.9925004839897156,0.02634086273610592,0.9913738369941711,0.000125
0.013738344423472881,0.9926031827926636,0.026079228147864342,0.9918500781059265,0.000125
