loss,accuracy,val_loss,val_accuracy,lr
0.14612822234630585,0.9268630146980286,0.08483311533927917,0.9728513956069946,0.001
0.06741105765104294,0.9660232067108154,0.07870861887931824,0.9723750948905945,0.001
0.05638565123081207,0.9710478186607361,0.07166621834039688,0.9760795831680298,0.001
0.050572264939546585,0.9740924835205078,0.06739378720521927,0.9765029549598694,0.001
0.0502513088285923,0.9736722111701965,0.07312139123678207,0.9712108373641968,0.001
0.04386644810438156,0.9780150055885315,0.06346746534109116,0.9812658429145813,0.001
0.040346212685108185,0.9788368940353394,0.06057455390691757,0.9813717007637024,0.001
0.03973958641290665,0.9796307682991028,0.054227765649557114,0.9806308150291443,0.001
0.03907151520252228,0.9810596704483032,0.0388764962553978,0.987034261226654,0.001
0.0377199687063694,0.9810783267021179,0.04501621425151825,0.9857641458511353,0.001
0.03469936177134514,0.9825819730758667,0.040678855031728745,0.9876164197921753,0.001
0.03322843089699745,0.9830303192138672,0.03600642457604408,0.9876693487167358,0.001
0.03282761201262474,0.9836840629577637,0.05063892528414726,0.9822713732719421,0.001
0.03150482475757599,0.984636664390564,0.047639694064855576,0.9843882322311401,0.001
0.03197086974978447,0.9847020506858826,0.03495592623949051,0.9888336062431335,0.001
0.0294293574988842,0.9852063655853271,0.03297135978937149,0.989045262336731,0.001
0.02847909741103649,0.9856266379356384,0.03645925596356392,0.9887277483940125,0.001
0.02765236608684063,0.9860469102859497,0.032565709203481674,0.9896274209022522,0.001
0.027557650581002235,0.9863084554672241,0.03631291538476944,0.9871401190757751,0.001
0.02664739079773426,0.9866446256637573,0.04465499892830849,0.9852878451347351,0.001
0.02815970964729786,0.9862430691719055,0.03318767994642258,0.9882514476776123,0.001
0.026288697496056557,0.9870742559432983,0.03536290302872658,0.9879339337348938,0.001
0.025108467787504196,0.9870836138725281,0.034967318177223206,0.9901037216186523,0.001
0.021390851587057114,0.989063560962677,0.034975484013557434,0.9886218905448914,0.0005
0.02160036377608776,0.988624632358551,0.03146285191178322,0.9898920059204102,0.0005
0.020185736939311028,0.9895118474960327,0.028497587889432907,0.9906328916549683,0.0005
0.02019677869975567,0.9891756176948547,0.027059918269515038,0.991162121295929,0.0005
0.01980249024927616,0.989399790763855,0.028106311336159706,0.9910562634468079,0.0005
0.019015919417142868,0.9905858635902405,0.031035704538226128,0.9900507926940918,0.0005
0.01909133605659008,0.9900441765785217,0.029447058215737343,0.9908446073532104,0.0005
0.019816864281892776,0.9893624186515808,0.03266416862607002,0.9893099069595337,0.0005
0.018454451113939285,0.9899507761001587,0.02570926584303379,0.9920617938041687,0.0005
0.01808222383260727,0.990697979927063,0.03190913051366806,0.989151120185852,0.0005
0.0172305628657341,0.9907352924346924,0.02806026302278042,0.9907387495040894,0.0005
0.017803998664021492,0.9904271364212036,0.031216874718666077,0.9900507926940918,0.0005
0.018017292022705078,0.9901749491691589,0.030842861160635948,0.9894686341285706,0.0005
0.017330240458250046,0.9907446503639221,0.0329524427652359,0.9894686341285706,0.0005
0.016134588047862053,0.9915851950645447,0.030181512236595154,0.9901566505432129,0.00025
0.015399400144815445,0.9918653964996338,0.02768022194504738,0.9903683066368103,0.00025
0.015946002677083015,0.9915571808815002,0.028782568871974945,0.9908446073532104,0.00025
0.016997143626213074,0.9918373823165894,0.02860112674534321,0.9907387495040894,0.00025
0.014405151829123497,0.992435097694397,0.02838977985084057,0.990897536277771,0.00025
