class,feature,mean_abs_shap
DoS,logged_in,0.04097236256749621
DoS,count,0.032127139206054006
DoS,flag,0.03068256229153397
DoS,dst_host_serror_rate,0.026616939019862267
DoS,srv_count,0.025676873286047227
DoS,dst_host_srv_serror_rate,0.019547855575866944
DoS,serror_rate,0.018643968154657593
DoS,protocol_type,0.017508510194337534
DoS,diff_srv_rate,0.017158578125374874
DoS,same_srv_rate,0.01709511130804565
DoS,dst_host_rerror_rate,0.01569565003500815
DoS,dst_host_srv_count,0.015337822451171886
DoS,srv_serror_rate,0.014720118259339747
DoS,dst_host_diff_srv_rate,0.012481315780359966
DoS,dst_host_same_src_port_rate,0.012327499702517992
DoS,service,0.012084173109915587
DoS,dst_host_same_srv_rate,0.011550340858972875
DoS,src_bytes,0.010359776154312819
DoS,byte_rate,0.009427363200035977
DoS,dst_host_srv_rerror_rate,0.008288867593331821
DoS,byte_ratio,0.00732340593607713
DoS,rerror_rate,0.007296994999704395
DoS,total_bytes,0.005903254136113887
DoS,duration,0.005654533028548693
DoS,srv_rerror_rate,0.0050010415328460315
DoS,dst_host_srv_diff_host_rate,0.004917952845848071
DoS,num_compromised,0.004684564719517032
DoS,wrong_fragment,0.004638360804108914
DoS,dst_host_count,0.004553266234562628
DoS,hot,0.004181848155131924
DoS,srv_diff_host_rate,0.003358485035796619
DoS,dst_bytes,0.002744673811200868
DoS,num_file_creations,0.0016678643503790557
DoS,root_shell,0.001213448895828796
DoS,is_guest_login,0.0009612185096159252
DoS,num_failed_logins,0.0006839259512097733
DoS,num_root,0.00012017889920317836
DoS,land,3.081012389225005e-05
DoS,urgent,2.2254710067911134e-05
DoS,num_shells,1.7882660206471197e-05
DoS,num_access_files,8.754267737019908e-06
DoS,su_attempted,1.494162024875599e-06
DoS,is_host_login,0.0
DoS,num_outbound_cmds,0.0
Probe,logged_in,0.04707677944728549
Probe,dst_host_same_src_port_rate,0.030852781657803672
Probe,dst_host_diff_srv_rate,0.03085052777713867
Probe,dst_host_srv_count,0.024180402854395353
Probe,dst_host_same_srv_rate,0.022269868112670236
Probe,service,0.019203917925879322
Probe,byte_rate,0.017756749910118396
Probe,protocol_type,0.017325432190299705
Probe,dst_host_rerror_rate,0.015350915527877379
Probe,dst_host_srv_diff_host_rate,0.011904256462435227
Probe,diff_srv_rate,0.011380900713939258
Probe,dst_host_serror_rate,0.010741166087889616
Probe,dst_host_count,0.009801165033399782
Probe,serror_rate,0.007252434640431873
Probe,count,0.006757804311258263
Probe,total_bytes,0.006698704586393981
Probe,dst_host_srv_rerror_rate,0.00658157871445171
Probe,srv_diff_host_rate,0.006346220128706234
Probe,srv_count,0.006157181980601206
Probe,same_srv_rate,0.005569942308328383
Probe,flag,0.005066167549980826
Probe,rerror_rate,0.0047294102128155055
Probe,duration,0.004684930507040618
Probe,dst_bytes,0.0036481492666982137
Probe,srv_rerror_rate,0.0033398598583737307
Probe,src_bytes,0.0033368205687408286
Probe,dst_host_srv_serror_rate,0.003075888932711282
Probe,hot,0.0028988326890015967
Probe,srv_serror_rate,0.0020170698444191572
Probe,byte_ratio,0.001773895727927089
Probe,wrong_fragment,0.0016177240682448749
Probe,num_file_creations,0.001517386559395654
Probe,num_compromised,0.0013632693339104107
Probe,root_shell,0.0010947518206728408
Probe,num_failed_logins,0.000998892676739145
Probe,is_guest_login,0.000785078445907518
Probe,num_root,9.918466206142178e-05
Probe,num_shells,5.8513449056004194e-05
Probe,num_access_files,1.499853119078645e-05
Probe,urgent,1.117170354154592e-05
Probe,land,7.500466669862241e-06
Probe,su_attempted,3.7091881688197765e-06
Probe,num_outbound_cmds,0.0
Probe,is_host_login,0.0
R2L,dst_host_srv_count,0.033059023424533554
R2L,service,0.02723524125814903
R2L,logged_in,0.024875630937359387
R2L,dst_host_same_src_port_rate,0.020911940851927623
R2L,srv_count,0.01959837956056544
R2L,hot,0.01910618501588766
R2L,count,0.017459374067646038
R2L,byte_rate,0.010727820637931564
R2L,dst_host_count,0.010476251318671942
R2L,is_guest_login,0.009388770695329307
R2L,dst_host_srv_diff_host_rate,0.00819830429784311
R2L,total_bytes,0.006506227782408802
R2L,protocol_type,0.005429729289225482
R2L,same_srv_rate,0.005008111627163578
R2L,src_bytes,0.004820141883126108
R2L,flag,0.00445327763495829
R2L,dst_bytes,0.004419299421415324
R2L,byte_ratio,0.0044178956860634385
R2L,dst_host_diff_srv_rate,0.004160134145838241
R2L,duration,0.004109511981407839
R2L,diff_srv_rate,0.003931224301976514
R2L,dst_host_same_srv_rate,0.0037909759079542147
R2L,dst_host_serror_rate,0.003583452511648698
R2L,num_failed_logins,0.003358962051266622
R2L,dst_host_srv_serror_rate,0.0024369833993138934
R2L,dst_host_rerror_rate,0.002359800935212697
R2L,num_compromised,0.0020308348548823208
R2L,dst_host_srv_rerror_rate,0.001997666992209747
R2L,num_file_creations,0.001996367540924105
R2L,srv_diff_host_rate,0.0017075350111680823
R2L,srv_serror_rate,0.0014671874677609214
R2L,root_shell,0.0010778010173414958
R2L,serror_rate,0.0010372281899417343
R2L,srv_rerror_rate,0.0009852337610514802
R2L,rerror_rate,0.0007164000882246796
R2L,num_access_files,0.000480988797929048
R2L,num_root,0.000198393187730807
R2L,urgent,0.0001293275056953634
R2L,su_attempted,9.852333618361845e-05
R2L,num_shells,9.825163444862956e-05
R2L,wrong_fragment,7.036319363399411e-05
R2L,land,2.67941587767844e-06
R2L,num_outbound_cmds,0.0
R2L,is_host_login,0.0
U2R,dst_host_srv_count,0.04518894879124143
U2R,service,0.02567916618043862
U2R,duration,0.021477631611282025
U2R,dst_host_count,0.01676457413621979
U2R,byte_rate,0.013966498108374449
U2R,logged_in,0.01370064339010748
U2R,srv_count,0.012072530909018785
U2R,dst_bytes,0.011255573117400412
U2R,dst_host_same_src_port_rate,0.010521273733456423
U2R,num_file_creations,0.01039133224238043
U2R,root_shell,0.008392435651126632
U2R,total_bytes,0.007021534118159238
U2R,num_compromised,0.006637538645080337
U2R,dst_host_diff_srv_rate,0.006469737927310122
U2R,count,0.005765094771624968
U2R,dst_host_same_srv_rate,0.0053925341812282
U2R,hot,0.004829414727931896
U2R,dst_host_srv_diff_host_rate,0.004031144057636413
U2R,src_bytes,0.0038171663056939687
U2R,dst_host_rerror_rate,0.0037711437388562685
U2R,flag,0.0032326681296030767
U2R,dst_host_serror_rate,0.0031305975666368144
U2R,protocol_type,0.0028461497753977673
U2R,dst_host_srv_serror_rate,0.002766631922745988
U2R,same_srv_rate,0.0022344586688719087
U2R,dst_host_srv_rerror_rate,0.0021749743207731933
U2R,srv_diff_host_rate,0.002166212833001203
U2R,diff_srv_rate,0.001860493871907724
U2R,rerror_rate,0.0017294677730588309
U2R,srv_serror_rate,0.001709541598051898
U2R,serror_rate,0.0016642660887550699
U2R,num_root,0.0012770853061736859
U2R,is_guest_login,0.0009430972302290728
U2R,srv_rerror_rate,0.0009384788739413717
U2R,byte_ratio,0.0006528705882170247
U2R,num_shells,0.0005768488918970853
U2R,num_failed_logins,0.0004665360392140057
U2R,urgent,8.973421313781205e-05
U2R,num_access_files,2.2820743320791327e-05
U2R,wrong_fragment,1.8843142249882113e-05
U2R,su_attempted,6.5670528464003895e-06
U2R,land,3.4103091612077598e-09
U2R,num_outbound_cmds,0.0
U2R,is_host_login,0.0
normal,dst_host_srv_count,0.09661407225133535
normal,dst_host_same_src_port_rate,0.054554334974890636
normal,service,0.05062425057548288
normal,logged_in,0.048899313081134994
normal,byte_rate,0.032172133135945837
normal,dst_host_same_srv_rate,0.03114482832955871
normal,dst_host_count,0.03068286029380359
normal,protocol_type,0.02759296548385691
normal,count,0.02423007911426985
normal,hot,0.02206262129346191
normal,dst_host_diff_srv_rate,0.021988461206551967
normal,flag,0.01930137797637105
normal,dst_host_rerror_rate,0.01875865540626694
normal,total_bytes,0.01661684796194642
normal,dst_host_srv_serror_rate,0.016389975653823323
normal,duration,0.01637770945949582
normal,dst_host_serror_rate,0.015928197466436804
normal,dst_bytes,0.014983397238326594
normal,same_srv_rate,0.014964337905547494
normal,dst_host_srv_diff_host_rate,0.01441158620670636
normal,src_bytes,0.014410246958110494
normal,srv_count,0.013904311260942588
normal,diff_srv_rate,0.013310975359863798
normal,srv_serror_rate,0.011186816650928019
normal,byte_ratio,0.009340479019653245
normal,serror_rate,0.009055009866765383
normal,rerror_rate,0.008624480568785108
normal,dst_host_srv_rerror_rate,0.007895695761436013
normal,num_compromised,0.007534488366722136
normal,is_guest_login,0.006699376509577523
normal,srv_rerror_rate,0.005564366051360677
normal,root_shell,0.00522546824819253
normal,num_file_creations,0.00520971379167929
normal,srv_diff_host_rate,0.005104165713504238
normal,wrong_fragment,0.0029314303999802113
normal,num_failed_logins,0.0021099805824214917
normal,num_root,0.0008721234302653001
normal,num_shells,0.0005912132869921575
normal,num_access_files,0.00043441525568047734
normal,urgent,0.0001856353052237269
normal,su_attempted,8.675293314352241e-05
normal,land,2.062683103555009e-05
normal,num_outbound_cmds,0.0
normal,is_host_login,0.0
