sigma,accuracy_noisy,f1_macro_noisy,f1_weighted_noisy,prediction_stability,prediction_change_rate,mean_clean_confidence,mean_noisy_confidence,confidence_drop,attention_cosine_similarity
0.01,0.7645519077196096,0.5714594818930776,0.7294325136982853,0.9811002661934339,0.018899733806566066,0.974197506904602,0.972931444644928,0.0012660616775974631,1.0
0.05,0.7029281277728483,0.5348167173179358,0.6754994173424118,0.8594055013309672,0.14059449866903284,0.974197506904602,0.9566707015037537,0.017526838928461075,1.0
0.1,0.6445874001774623,0.46115348010155816,0.6324996117571207,0.735581188997338,0.26441881100266196,0.974197506904602,0.947020411491394,0.0271771140396595,0.9999998807907104
