class,feature,mean_abs_shap
DoS,dst_host_rerror_rate,0.01575926396956207
DoS,dst_host_serror_rate,0.008827275216475569
DoS,same_srv_rate,0.005159001098738336
DoS,protocol_type,0.00406201111118901
DoS,count,0.003656883216048304
DoS,dst_host_srv_count,0.0034007213227529305
DoS,dst_host_diff_srv_rate,0.003239263307483446
DoS,srv_rerror_rate,0.0028086798659820124
DoS,diff_srv_rate,0.0028066925448405476
DoS,wrong_fragment,0.0027457356424406137
DoS,srv_serror_rate,0.0025776417676486936
DoS,dst_host_srv_diff_host_rate,0.0023059520732549945
DoS,logged_in,0.0022746209252263085
DoS,src_bytes,0.0022031722650469473
DoS,rerror_rate,0.002112047593243269
DoS,serror_rate,0.0020395724426061014
DoS,byte_ratio,0.001858385734660912
DoS,dst_host_same_src_port_rate,0.0018031027851515041
DoS,srv_count,0.0017849263862853202
DoS,dst_host_srv_serror_rate,0.0017826149153843532
DoS,dst_host_srv_rerror_rate,0.0016306836329401783
DoS,flag,0.0016101288913780815
DoS,service,0.0016052417531291505
DoS,total_bytes,0.001569204456094384
DoS,dst_host_same_srv_rate,0.0014351449490814438
DoS,dst_bytes,0.0012495548986138703
DoS,is_guest_login,0.0012426932014696936
DoS,duration,0.0011439378703935333
DoS,root_shell,0.0011091166409721743
DoS,byte_rate,0.0009794890250511123
DoS,dst_host_count,0.0009759874114523387
DoS,srv_diff_host_rate,0.000780916890215701
DoS,hot,0.0007310272214934576
DoS,num_compromised,7.336758881470805e-05
DoS,land,0.0
DoS,is_host_login,0.0
DoS,num_outbound_cmds,0.0
DoS,num_file_creations,0.0
DoS,num_access_files,0.0
DoS,num_root,0.0
DoS,num_failed_logins,0.0
DoS,num_shells,0.0
DoS,su_attempted,0.0
DoS,urgent,0.0
Probe,dst_host_rerror_rate,0.014243930939645433
Probe,rerror_rate,0.007097625947631513
Probe,dst_host_same_srv_rate,0.0064842242289926254
Probe,dst_host_srv_rerror_rate,0.005150845531513321
Probe,dst_host_diff_srv_rate,0.005071875040300645
Probe,dst_host_serror_rate,0.004745655734387052
Probe,protocol_type,0.0035668120579731744
Probe,dst_host_same_src_port_rate,0.003525678409653615
Probe,dst_host_srv_serror_rate,0.003381487268418344
Probe,srv_count,0.0032206540437619995
Probe,srv_serror_rate,0.002903483354319861
Probe,src_bytes,0.0025260560440054937
Probe,dst_host_srv_diff_host_rate,0.0023915174278108303
Probe,serror_rate,0.002305525975243877
Probe,wrong_fragment,0.0022567236423401194
Probe,logged_in,0.0021788124575305087
Probe,byte_rate,0.0016580132131506092
Probe,count,0.0016368211452131227
Probe,dst_host_count,0.0016085993070158449
Probe,byte_ratio,0.0015733878117413925
Probe,diff_srv_rate,0.0014618069323687746
Probe,srv_diff_host_rate,0.0014508670155552429
Probe,srv_rerror_rate,0.001441461006009
Probe,hot,0.0014160698547772165
Probe,dst_bytes,0.0013294125412394154
Probe,service,0.001298202754779816
Probe,flag,0.0011216434723146634
Probe,total_bytes,0.0007214593030186894
Probe,duration,0.0003018492862724423
Probe,same_srv_rate,0.00028431962055957497
Probe,is_guest_login,0.00018642644023498226
Probe,num_root,0.000186425021181274
Probe,dst_host_srv_count,8.637722497986878e-05
Probe,num_compromised,7.565776937554949e-05
Probe,su_attempted,0.0
Probe,root_shell,0.0
Probe,num_failed_logins,0.0
Probe,num_file_creations,0.0
Probe,urgent,0.0
Probe,num_shells,0.0
Probe,land,0.0
Probe,num_access_files,0.0
Probe,num_outbound_cmds,0.0
Probe,is_host_login,0.0
R2L,dst_host_srv_count,0.0020864360135833754
R2L,dst_host_srv_serror_rate,0.0008646477154008101
R2L,dst_host_srv_diff_host_rate,0.0008287642313966438
R2L,dst_host_same_src_port_rate,0.0006305870325778088
R2L,dst_host_same_srv_rate,0.0006016760558436526
R2L,dst_host_count,0.0005629706823522306
R2L,diff_srv_rate,0.0005549883412179085
R2L,srv_rerror_rate,0.0005464180251476797
R2L,protocol_type,0.0005264419552998119
R2L,flag,0.0005176124598452494
R2L,wrong_fragment,0.0004461016109260672
R2L,dst_host_serror_rate,0.00037287723913554283
R2L,count,0.0003571085865253369
R2L,byte_rate,0.00033875294511353295
R2L,src_bytes,0.0003232759410606952
R2L,same_srv_rate,0.00031764143700184434
R2L,rerror_rate,0.0003076541022449862
R2L,dst_bytes,0.0002888791166463446
R2L,srv_count,0.0002864299761308004
R2L,logged_in,0.00028178115530874345
R2L,dst_host_diff_srv_rate,0.00027249694584843083
R2L,service,0.00022980524690365396
R2L,srv_diff_host_rate,0.00022558700296464277
R2L,dst_host_rerror_rate,0.00021612995816432245
R2L,total_bytes,0.00021297312538604728
R2L,srv_serror_rate,0.0001986575818551664
R2L,dst_host_srv_rerror_rate,0.00018613485605661531
R2L,hot,0.00016537169926649574
R2L,duration,0.00015489410579114983
R2L,serror_rate,0.0001470878929734475
R2L,byte_ratio,7.241276546018601e-05
R2L,num_shells,5.5627593710516014e-05
R2L,num_root,4.741560568376605e-05
R2L,num_compromised,0.0
R2L,root_shell,0.0
R2L,num_failed_logins,0.0
R2L,su_attempted,0.0
R2L,urgent,0.0
R2L,land,0.0
R2L,num_file_creations,0.0
R2L,num_access_files,0.0
R2L,num_outbound_cmds,0.0
R2L,is_host_login,0.0
R2L,is_guest_login,0.0
U2R,srv_rerror_rate,0.00019839041585229645
U2R,dst_host_srv_rerror_rate,0.00018191452736205965
U2R,dst_host_srv_count,0.00016069137475925466
U2R,srv_serror_rate,9.740364811630878e-05
U2R,duration,9.584750966295621e-05
U2R,diff_srv_rate,9.459840203440813e-05
U2R,serror_rate,9.139622095059729e-05
U2R,srv_diff_host_rate,8.767787461197526e-05
U2R,dst_host_same_src_port_rate,8.062766425371997e-05
U2R,dst_host_same_srv_rate,7.825955155117172e-05
U2R,dst_bytes,7.435782107636381e-05
U2R,dst_host_srv_diff_host_rate,6.680699772150307e-05
U2R,dst_host_serror_rate,5.3476318892930204e-05
U2R,service,5.089482273700794e-05
U2R,byte_rate,4.8411842720737615e-05
U2R,protocol_type,4.390172077714754e-05
U2R,dst_host_count,4.340583968478725e-05
U2R,flag,4.0272657891303545e-05
U2R,rerror_rate,3.808587224117498e-05
U2R,hot,3.5869897453202145e-05
U2R,dst_host_diff_srv_rate,3.3491889633007834e-05
U2R,src_bytes,3.1622256085610545e-05
U2R,same_srv_rate,2.2394744266201433e-05
U2R,total_bytes,1.6882394965179362e-05
U2R,logged_in,1.676503343082182e-05
U2R,dst_host_rerror_rate,1.5650202800838654e-05
U2R,count,1.4313584573096366e-05
U2R,srv_count,1.1633626164642347e-05
U2R,wrong_fragment,1.060121386444747e-05
U2R,byte_ratio,1.0022575923558611e-05
U2R,num_shells,5.108665166697734e-06
U2R,num_compromised,3.658883311077664e-06
U2R,dst_host_srv_serror_rate,7.904644941463992e-07
U2R,root_shell,0.0
U2R,su_attempted,0.0
U2R,num_failed_logins,0.0
U2R,num_root,0.0
U2R,urgent,0.0
U2R,num_file_creations,0.0
U2R,land,0.0
U2R,num_access_files,0.0
U2R,num_outbound_cmds,0.0
U2R,is_host_login,0.0
U2R,is_guest_login,0.0
normal,dst_host_srv_count,0.008481100682392094
normal,logged_in,0.007941473636070446
normal,protocol_type,0.0076887046909859084
normal,same_srv_rate,0.006211001911656634
normal,rerror_rate,0.005801544525052953
normal,dst_host_rerror_rate,0.004575721092201659
normal,dst_host_same_src_port_rate,0.0043023888392483695
normal,srv_rerror_rate,0.004258094051870813
normal,dst_host_count,0.004144475640908476
normal,srv_serror_rate,0.003927711423029681
normal,dst_host_serror_rate,0.0035646215477919494
normal,flag,0.0030693644907108554
normal,count,0.002939430479623953
normal,dst_host_same_srv_rate,0.0028943120569459545
