sigma,accuracy_noisy,f1_macro_noisy,f1_weighted_noisy,prediction_stability,prediction_change_rate,mean_clean_confidence,mean_noisy_confidence,confidence_drop
0.01,0.7598917672107878,0.5810795416080297,0.728131245136413,0.9870475514549326,0.012952448545067385,0.9713809490203857,0.9682894349098206,0.0030915536917746067
0.05,0.7106990773598296,0.5469452810457405,0.6813415062752288,0.8977555003548616,0.10224449964513838,0.9713809490203857,0.9431925415992737,0.028188403695821762
0.1,0.6789389638041164,0.5476258007518631,0.6557412812992326,0.8215046132008517,0.17849538679914834,0.9713809490203857,0.9217655062675476,0.04961554333567619
