class,feature,mean_abs_shap
DoS,dst_host_rerror_rate,0.0821680471410929
DoS,dst_host_serror_rate,0.07861443379547879
DoS,dst_host_srv_count,0.06736506231879096
DoS,logged_in,0.031576184749941706
DoS,dst_host_srv_serror_rate,0.03004098580304752
DoS,serror_rate,0.029714538369173503
DoS,srv_serror_rate,0.023295781151208016
DoS,count,0.02318505871376784
DoS,dst_host_same_src_port_rate,0.0167110536847227
DoS,same_srv_rate,0.014558934397264136
DoS,flag,0.014526150895661376
DoS,dst_host_same_srv_rate,0.014372546877929592
DoS,diff_srv_rate,0.013234217161863836
DoS,srv_rerror_rate,0.011122871354291925
DoS,rerror_rate,0.009622109817118803
DoS,dst_host_count,0.009137724935165117
DoS,protocol_type,0.00874839035740037
DoS,dst_host_diff_srv_rate,0.008247251719983412
DoS,byte_rate,0.006592199517283247
DoS,hot,0.005610969555570185
DoS,num_compromised,0.005423378459821623
DoS,dst_host_srv_rerror_rate,0.004793837509438825
DoS,srv_count,0.004538088113582266
DoS,dst_host_srv_diff_host_rate,0.0038945237163910767
DoS,dst_bytes,0.0036596291432997373
DoS,root_shell,0.0034719529095549105
DoS,service,0.003325962412326966
DoS,duration,0.003012460108680853
DoS,total_bytes,0.002362091354858443
DoS,src_bytes,0.0022349266263173013
DoS,byte_ratio,0.0017488462671263868
DoS,srv_diff_host_rate,0.0005552722793798591
DoS,su_attempted,0.0
DoS,num_root,0.0
DoS,num_failed_logins,0.0
DoS,num_file_creations,0.0
DoS,urgent,0.0
DoS,wrong_fragment,0.0
DoS,land,0.0
DoS,num_shells,0.0
DoS,num_access_files,0.0
DoS,num_outbound_cmds,0.0
DoS,is_host_login,0.0
DoS,is_guest_login,0.0
Probe,dst_host_same_srv_rate,0.05722674313069106
Probe,dst_host_serror_rate,0.04612922831708764
Probe,logged_in,0.04108862032095188
Probe,dst_host_same_src_port_rate,0.03311076845140248
Probe,dst_host_rerror_rate,0.032929123570332
Probe,rerror_rate,0.022910743312275494
Probe,flag,0.02077488210476701
Probe,dst_host_diff_srv_rate,0.018624485733011325
Probe,diff_srv_rate,0.017093713690381675
Probe,service,0.016063142359506965
Probe,dst_host_count,0.01295233247568844
Probe,protocol_type,0.012130957731079315
Probe,dst_host_srv_count,0.009131599102122391
Probe,same_srv_rate,0.009051691033543214
Probe,root_shell,0.008737059629830315
Probe,dst_host_srv_serror_rate,0.008237086816664478
Probe,srv_serror_rate,0.007067915692735082
Probe,dst_host_srv_rerror_rate,0.006810106818006648
Probe,dst_bytes,0.0063585385135326
Probe,dst_host_srv_diff_host_rate,0.005592531838463254
Probe,serror_rate,0.005200251696155193
Probe,count,0.0035059327854581814
Probe,srv_rerror_rate,0.0034785190209110895
Probe,srv_diff_host_rate,0.003300124001583853
Probe,duration,0.0028219078418058523
